,driverid,lap,cume_sec
256,Kimi Räikkönen,12,1438.4249970912933
257,Max Verstappen,12,1439.8070001602173
258,Jolyon Palmer,12,1442.1009979248047
259,Rio Haryanto,12,1442.7810049364343
260,Marcus Ericsson,12,1442.822997868061
261,Kevin Magnussen,12,1443.1759942770004
262,Romain Grosjean,12,1443.9559987783432
263,Felipe Nasr,12,1455.7739963531494
264,Nico Rosberg,13,1520.2670001983643
265,Daniil Kvyat,13,1527.777000427246
266,Felipe Massa,13,1529.6759986877441
267,Fernando Alonso,13,1533.8550052642822
268,Sebastian Vettel,13,1534.5809993743896
269,Sergio Pérez,13,1535.4099941253662
270,Valtteri Bottas,13,1537.541003227234
271,Jenson Button,13,1539.8889951705933
272,Pascal Wehrlein,13,1540.4329986572266
273,Carlos Sainz Jr.,13,1540.6060036420822
274,Daniel Ricciardo,13,1541.1639957427979
275,Lewis Hamilton,13,1541.7389993667603
276,Nico Hülkenberg,13,1542.7079972624779
277,Esteban Gutiérrez,13,1543.1949996948242
278,Kimi Räikkönen,13,1543.5259988307953
279,Max Verstappen,13,1543.9980020523071
280,Marcus Ericsson,13,1548.0559995770454
281,Jolyon Palmer,13,1548.5739974975586
282,Kevin Magnussen,13,1549.2119935750961
283,Rio Haryanto,13,1550.4330053636804
284,Romain Grosjean,13,1550.8280004262924
285,Felipe Nasr,13,1561.2279949188232
286,Nico Rosberg,14,1622.6420001983643
287,Daniil Kvyat,14,1630.8680000305176
288,Felipe Massa,14,1633.923999786377
289,Sebastian Vettel,14,1638.1149997711182
290,Fernando Alonso,14,1638.823003768921
291,Sergio Pérez,14,1639.3979930877686
292,Valtteri Bottas,14,1640.926001548767
293,Jenson Button,14,1643.951994895935
294,Carlos Sainz Jr.,14,1644.5210045576096
295,Daniel Ricciardo,14,1646.2489948272705
296,Lewis Hamilton,14,1647.0640001296997
297,Pascal Wehrlein,14,1648.037998199463
298,Nico Hülkenberg,14,1648.2519959807396
299,Esteban Gutiérrez,14,1649.2919998168945
300,Max Verstappen,14,1649.5500001907349
